Serial_number:,,,,
1023733,,,,
Project ID:,,,,
CWS,,,,
Location:,,,,
NFA,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Altitude: 360.000000 m,,,,
Density: 1.000000 kg/L,,,,
Temperature,,,,
UNIT: Deg C,,,,
Date,Time,ms,Level,Temperature
8/5/14,11:15:00,0,1.1457,22.023
8/5/14,11:30:00,0,1.1485,22.03
8/5/14,11:45:00,0,1.1482,22.035
8/5/14,12:00:00,0,1.1504,22.033
8/5/14,12:15:00,0,1.1495,22.028
8/5/14,12:30:00,0,1.1533,22.019
8/5/14,12:45:00,0,1.1531,22
8/5/14,13:00:00,0,1.1535,21.974
8/5/14,13:15:00,0,1.156,21.952
8/5/14,13:30:00,0,1.1554,21.926
8/5/14,13:45:00,0,1.1572,21.903
8/5/14,14:00:00,0,1.1592,21.882
8/5/14,14:15:00,0,1.1597,21.869
8/5/14,14:30:00,0,1.1587,21.862
8/5/14,14:45:00,0,1.1573,21.858
8/5/14,15:00:00,0,1.1599,21.855
8/5/14,15:15:00,0,1.156,21.846
8/5/14,15:30:00,0,1.1584,21.878
8/5/14,15:45:00,0,1.1558,21.888
8/5/14,16:00:00,0,1.1573,21.901
8/5/14,16:15:00,0,1.1552,21.898
8/5/14,16:30:00,0,1.1539,21.923
8/5/14,16:45:00,0,1.153,21.944
8/5/14,17:00:00,0,1.1539,21.947
8/5/14,17:15:00,0,1.1536,21.954
8/5/14,17:30:00,0,1.1541,21.956
8/5/14,17:45:00,0,1.1537,21.975
8/5/14,18:00:00,0,1.1534,21.978
8/5/14,18:15:00,0,1.1506,21.973
8/5/14,18:30:00,0,1.1507,21.985
8/5/14,18:45:00,0,1.1525,21.981
8/5/14,19:00:00,0,1.1516,21.967
8/5/14,19:15:00,0,1.1508,21.954
8/5/14,19:30:00,0,1.1509,21.94
8/5/14,19:45:00,0,1.1509,21.911
8/5/14,20:00:00,0,1.1508,21.881
8/5/14,20:15:00,0,1.1513,21.853
8/5/14,20:30:00,0,1.1521,21.826
8/5/14,20:45:00,0,1.1516,21.8
8/5/14,21:00:00,0,1.1526,21.774
8/5/14,21:15:00,0,1.1531,21.747
8/5/14,21:30:00,0,1.1523,21.721
8/5/14,21:45:00,0,1.1549,21.693
8/5/14,22:00:00,0,1.1521,21.668
8/5/14,22:15:00,0,1.1533,21.644
8/5/14,22:30:00,0,1.1541,21.62
8/5/14,22:45:00,0,1.1518,21.594
8/5/14,23:00:00,0,1.1536,21.569
8/5/14,23:15:00,0,1.1523,21.544
8/5/14,23:30:00,0,1.1504,21.516
8/5/14,23:45:00,0,1.1512,21.489
